ptr 2 4
layout.8 12 12 12
layout.1 8 8 8
layout.9 14 14 14
layout.10 14 14 14
zero 1 0 0
free.null 2 0 0
split 68 48 0
exact 1 0 0
coalesce 0 136 12
realloc.grow 0 1 0
realloc.shrink 1 1 0
realloc.tail 1 0 0
realloc.zero 1 0 0
realloc.null 1 0 0
calloc 1 1 0
toobig 1 8 0
calloc.overflow 1 0 0
heapcheck 2 4 3
heapwalk 6 1 5
far.clean 1 1008 0
far.clean.walk 1 0 1
far.two 2016 2016 2016
far.two.walk 2 1 5
far.reuse 1 0 4
far.gap 1 4 0
far.walk0 0 1008 1
far.walk1 63 1008 1
far.walk2 126 1008 1
far.walk3 189 1008 1
far.walk 4 5 2
coreleft 1 1 1
coreleft.grain 0 0 0
